rank,name,speed,spin,control,tackiness,weight,hardness,gears,throw_angle,consistency,durable,overall,ratings,price
173,TSP Triple Spin Chop,5.7,9.3,9.4,3.5,2.4,2.4,4.8,5.1,9.0,7.8,9.2,14,34.0
174,Andro Rasanter R37,8.7,9.1,9.4,1.6,2.8,1.1,6.7,5.8,9.1,7.8,9.2,44,46.0
175,JOOLA Express One,9.4,8.8,8.3,2.2,3.7,6.7,6.9,3.4,8.1,6.4,9.2,41,55.0
176,TSP Agrit,8.9,9.3,9.4,1.3,1.6,4.6,8.1,6.5,10.0,9.0,9.2,20,49.0
177,Andro Rasanter V42,9.1,9.1,9.2,1.9,4.4,4.2,8.1,4.4,9.7,8.2,9.2,21,49.0
178,Xiom Omega VII Euro,9.0,9.0,9.1,1.8,2.8,4.1,7.4,5.8,8.9,8.1,9.2,24,62.0
179,Victas VS > 402 Limber,8.7,9.5,9.4,1.9,3.6,3.3,8.5,6.2,10.0,8.0,9.2,15,48.0
180,Donic BlueGrip S2,8.2,9.1,9.3,3.9,3.4,4.2,7.9,5.3,9.5,5.9,9.2,15,49.72
181,Cornilleau Target Pro GT X51,9.4,9.2,9.0,1.6,6.9,8.0,8.7,6.2,9.0,7.8,9.2,13,40.0
182,Andro Impuls Powersponge,8.5,9.2,9.3,1.7,3.2,3.4,8.0,5.5,8.9,9.2,9.2,12,47.0
183,Friendship/729 729-08 Pro,8.6,9.3,8.9,4.5,4.0,7.9,7.9,6.6,8.6,8.6,9.2,10,39.0
184,Victas VJC > 07 Sticky Extra,8.4,9.2,9.4,3.3,5.2,6.2,7.7,6.2,10.0,8.9,9.2,13,46.0
185,Gewo Nexxus EL Pro 50 Hard,9.3,9.2,9.2,0.3,5.8,7.6,8.3,4.0,9.1,8.2,9.2,13,49.0
186,Tibhar 1Q,8.7,8.9,8.7,3.2,4.6,6.6,7.5,6.0,9.2,8.3,9.2,56,40.0
187,Tibhar Evolution MX-D,9.4,9.1,8.5,1.8,6.8,8.6,8.7,4.6,8.9,7.2,9.2,27,50.0
188,Nittaku Hammond CR,8.9,8.8,9.0,1.9,3.5,4.6,7.9,4.0,9.0,8.0,9.2,18,35.0
189,Stiga Mantra H,9.4,9.1,8.8,2.0,5.9,8.7,7.7,5.4,8.5,7.1,9.2,20,29.0
190,JOOLA Rhyzm,9.1,9.1,8.7,2.3,5.9,6.7,8.6,4.8,8.6,7.8,9.2,36,40.0
191,Tibhar 5Q Sound,8.3,9.1,9.1,1.6,3.7,1.5,7.4,4.5,10.0,8.4,9.2,21,45.0
192,Tibhar Grip-S Europe,8.6,9.3,8.9,5.9,6.3,7.3,8.5,7.6,10.0,8.3,9.2,35,45.0
193,JOOLA Golden Tango PS,8.8,9.4,9.1,5.8,6.2,7.4,7.0,6.7,10.0,6.9,9.2,11,45.0
194,Andro Hexer+,9.3,9.0,8.7,1.4,3.8,4.5,8.4,4.7,8.9,6.5,9.2,26,55.0
195,Yasaka Xtend,9.1,8.9,9.0,3.9,2.9,1.9,7.9,5.2,8.6,6.4,9.2,15,44.0
196,Gewo Hype XT Pro 40.0,8.5,9.0,9.0,1.1,2.5,2.3,7.7,6.6,8.3,6.6,9.2,21,48.0
197,Xiom Sigma 1 Pro,9.5,9.1,8.5,1.8,5.9,7.4,8.4,4.8,9.8,7.6,9.2,28,80.0
198,Darker VLON-S Blue V,8.9,9.1,8.4,7.2,5.1,7.5,9.1,6.1,8.8,7.7,9.2,21,11.0
199,DHS Gold Arc 5,8.8,9.0,9.3,2.3,4.4,5.3,8.1,4.9,9.0,7.3,9.2,40,38.0
200,Xiom Vega Europe,8.7,9.0,9.1,2.0,3.4,2.8,7.8,4.7,9.3,6.8,9.2,205,42.0
201,Yasaka Rakza 7 Soft,8.6,9.2,9.1,2.4,3.7,2.5,7.7,5.5,9.8,7.5,9.2,136,53.0
202,Nittaku Hurricane Pro III Turbo Orange,8.6,9.3,8.9,8.5,8.3,8.6,8.9,5.3,8.9,7.6,9.2,39,55.0
203,Gewo Nexxus EL Pro 53 Hard,9.3,9.1,8.9,0.9,6.6,8.3,8.3,2.3,9.1,8.5,9.2,16,60.0
204,Yinhe Moon Pro,8.9,9.2,9.1,6.0,4.9,5.4,8.0,5.9,9.0,7.9,9.1,50,25.0
205,Friendship/729 Battle II,8.7,9.2,9.0,8.6,5.9,8.0,8.3,5.6,8.4,8.1,9.1,54,26.0
206,Donic Bluestorm Z1 Turbo,9.4,9.0,8.3,1.8,5.9,8.0,8.1,3.9,9.3,7.9,9.1,36,44.0
207,Donic Coppa X1 Gold,9.1,8.8,8.7,1.9,3.7,5.6,8.7,4.4,9.2,7.4,9.1,24,49.0
208,Yasaka V Stage,9.0,9.2,8.6,3.2,3.8,4.3,7.8,2.3,10.0,7.5,9.1,13,52.0
209,Tibhar Genius+ Optimum,9.0,9.3,8.9,2.7,4.5,5.8,9.1,5.5,9.7,6.5,9.1,31,50.0
210,Adidas P5,8.9,9.3,9.0,2.7,4.3,6.9,7.8,5.7,9.2,8.1,9.1,27,52.0
